label
Confirmed
Confirmed
Candidate
False
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
False
False
False
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
False
False
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
False
Confirmed
Candidate
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
False
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
False
False
Confirmed
Confirmed
False
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
False
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
False
False
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
False
Candidate
False
Confirmed
Confirmed
False
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
False
False
Confirmed
Confirmed
Confirmed
Confirmed
False
False
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
Confirmed
Confirmed
Candidate
False
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
False
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Candidate
Confirmed
False
Confirmed
False
Confirmed
False
Confirmed
False
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Candidate
False
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
Confirmed
Candidate
Confirmed
Candidate
Candidate
Confirmed
False
False
False
False
False
Candidate
Candidate
False
False
False
False
False
Confirmed
False
False
Confirmed
Confirmed
False
Confirmed
False
False
Candidate
Confirmed
Confirmed
Confirmed
Candidate
False
Candidate
Candidate
Confirmed
False
False
False
Confirmed
Confirmed
Confirmed
False
Confirmed
Confirmed
False
Confirmed
False
Candidate
False
False
False
False
False
False
False
False
False
False
False
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
False
Confirmed
False
False
False
False
False
Confirmed
False
Confirmed
False
Confirmed
Confirmed
Confirmed
False
False
False
False
False
Confirmed
Confirmed
Candidate
False
Candidate
Confirmed
Candidate
Confirmed
Confirmed
Confirmed
Confirmed
Confirmed
